sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids
ERS1426778,wastewater metagenome,SAMEA4527599,"Tirana, Albania",41.327,9.818,Albania,,,,ERR1725938;ERR2592244;ERR1713331;ERR1713331
ERS1426779,wastewater metagenome,SAMEA4527600,"Woden, Australia",35.345,149.095,Australia,,,,ERR2592245;ERR1713332;ERR1725939;ERR1725940;ERR2592328;ERR1713332
ERS1426780,wastewater metagenome,SAMEA4527601,"Melbourne, Australia",37.914,144.643,Australia,,,,ERR1725942;ERR1725943;ERR1725941;ERR1713333;ERR1725944;ERR1713333
ERS1426781,wastewater metagenome,SAMEA4527602,"Vienna, Austria",48.208,16.373,Austria,,,,ERR1725945;ERR1713334;ERR2592246;ERR1725946;ERR1713334
ERS1426782,wastewater metagenome,SAMEA4527603,"Sofia, Bulgaria",42.697,23.321,Bulgaria,,,,ERR2592247;ERR1725947;ERR1725948;ERR1713335;ERR1713335
ERS1426783,wastewater metagenome,SAMEA4527604,"Belem, Brasil",1.455,48.49,Brazil,,,,ERR1725949;ERR2592248;ERR1713336;ERR1713336
ERS1426784,wastewater metagenome,SAMEA4527605,"Belem, Brasil",1.455,48.49,Brazil,,,,ERR1713337;ERR1725950;ERR1725951;ERR1713337
ERS1426785,wastewater metagenome,SAMEA4527606,"Palapye, Botswana",22.551,27.114,Botswana,,,,ERR1725952;ERR1725953;ERR1713338;ERR2592249;ERR1713338
ERS1426786,wastewater metagenome,SAMEA4527607,"Regina, Canada",50.445,104.618,Canada,,,,ERR2592329;ERR1725954;ERR1713339;ERR1713339
ERS1426787,wastewater metagenome,SAMEA4527608,"Calgary, Canada",51.048,114.07,Canada,,,,ERR1725956;ERR1725957;ERR1725958;ERR1713340;ERR1725955;ERR1713340
ERS1426788,wastewater metagenome,SAMEA4527609,"Toronto, Canada",43.653,79.383,Canada,,,,ERR2592250;ERR1725960;ERR1725959;ERR1713341;ERR1713341
ERS1426789,wastewater metagenome,SAMEA4527610,"Ottawa, Canada",45.421,75.697,Canada,,,,ERR1713342;ERR1713342
ERS1426790,wastewater metagenome,SAMEA4527611,"Herrenschwanden, Switzerland",46.948,7.447,Switzerland,,,,ERR1725963;ERR2592331;ERR1725961;ERR1725964;ERR2592251;ERR1713343;ERR1725962;ERR1713343
ERS1426791,wastewater metagenome,SAMEA4527612,"Guangzhou, China",23.129,113.264,China,,,,ERR1713344;ERR1713344
ERS1426792,wastewater metagenome,SAMEA4527613,"Abidjan, Cote d''Ivoire",5.36,4.008,Cote d'Ivoire,,,,ERR2592252;ERR1725965;ERR1713345;ERR1713345
ERS1426793,wastewater metagenome,SAMEA4527614,"Mosquera, Colombia",4.706,74.23,Colombia,,,,ERR1713346;ERR1713346
ERS1426794,wastewater metagenome,SAMEA4527615,"Brno, Czech Republic",49.195,16.606,Czech Republic,,,,ERR2592253;ERR1725966;ERR1713347;ERR1713347
ERS1426795,wastewater metagenome,SAMEA4527616,"Berlin, Germany",52.52,13.405,Germany,,,,ERR1725968;ERR2592254;ERR2592332;ERR1725967;ERR1713348;ERR1713348
ERS1426796,wastewater metagenome,SAMEA4527617,"Copenhagen, Denmark",55.676,12.568,Denmark,,,,ERR1713349;ERR1713349
ERS1426797,wastewater metagenome,SAMEA4527618,"Copenhagen, Denmark",55.676,12.568,Denmark,,,,ERR1713350;ERR1713350
ERS1426798,wastewater metagenome,SAMEA4527619,"Copenhagen, Denmark",55.676,12.568,Denmark,,,,ERR1713351;ERR1713351
ERS1426799,wastewater metagenome,SAMEA4527620,"Quito, Ecuador",0.18,78.467,Ecuador,,,,ERR1713352;ERR1713352
ERS1426800,wastewater metagenome,SAMEA4527621,"San Cristobal Island, Galapagos, Ecuador",0.867,89.436,Ecuador,,,,ERR1713353;ERR2592333;ERR1713353
ERS1426801,wastewater metagenome,SAMEA4527622,"Barcelona, Spain",41.385,2.173,Spain,,,,ERR2592334;ERR1725971;ERR1725970;ERR1725972;ERR1713354;ERR1725969;ERR1713354
ERS1426802,wastewater metagenome,SAMEA4527623,"Addis Ababa, Ethiopia",8.98,38.757,Ethiopia,,,,ERR1713355;ERR1713355
ERS1426803,wastewater metagenome,SAMEA4527624,"Helsinki, Finland",60.169,24.938,Finland,,,,ERR1713356;ERR1725973;ERR2592255;ERR1713356
ERS1426804,wastewater metagenome,SAMEA4527625,"Tbilisi, Georgia",41.715,44.827,Georgia,,,,ERR1713357;ERR1725974;ERR1725975;ERR2592256;ERR1713357
ERS1426805,wastewater metagenome,SAMEA4527626,"Tamale, Ghana",9.432,0.848,Ghana,,,,ERR1713358;ERR1713358
ERS1426806,wastewater metagenome,SAMEA4527627,"Banjul, Gambia",13.454,16.579,Gambia,,,,ERR1713359;ERR1713359
ERS1426807,wastewater metagenome,SAMEA4527628,"Zagreb, Croatia",45.815,15.981,Croatia,,,,ERR1713360;ERR1725977;ERR1725976;ERR2592257;ERR2592335;ERR1713360
ERS1426808,wastewater metagenome,SAMEA4527629,"Budapest, Hungary",47.497,19.04,Hungary,,,,ERR1713361;ERR1713361
ERS1426809,wastewater metagenome,SAMEA4527630,"Cochin, India",9.931,76.267,India,,,,ERR1725978;ERR2592258;ERR1713362;ERR1713362
ERS1426810,wastewater metagenome,SAMEA4527631,"Galway, Ireland",53.27,9.056,Ireland,,,,ERR1725979;ERR1725980;ERR1713363;ERR1713363
ERS1426811,wastewater metagenome,SAMEA4527632,"Tehran, Iran",35.689,51.389,Iran,,,,ERR2592259;ERR1713364;ERR1725981;ERR1713364
