kingdom,phylum,ERR2683114,ERR2683115,ERR2683118,ERR2683121,ERR2683124,ERR2683128,ERR2683129,ERR2683133,ERR2683136,ERR2683137,ERR2683138,ERR2683140,ERR2683141,ERR2683143,ERR2683144,ERR2683145,ERR2683146,ERR2683147,ERR2683160,ERR2683170,ERR2683172,ERR2683173,ERR2683174,ERR2683177,ERR2683179,ERR2683186,ERR2683188,ERR2683189,ERR2683191,ERR2683192,ERR2683193,ERR2683194,ERR2683195,ERR2683196,ERR2683199,ERR2683200,ERR2683203,ERR2683204,ERR2683205,ERR2683208,ERR2683211,ERR2683213,ERR2683214,ERR2683215,ERR2683218,ERR2683219,ERR2683220,ERR2683221,ERR2683222,ERR2683223,ERR2683225,ERR2683227,ERR2683228,ERR2683231,ERR2683232,ERR2683233,ERR2683238,ERR2683241,ERR2683244,ERR2683245,ERR2683246,ERR2683249,ERR2683251,ERR2683252,ERR2683254,ERR2683255,ERR2683257,ERR2683259,ERR2683261,ERR2683264,ERR2683265,ERR2683268,ERR2683273,ERR2683276,ERR2683277,ERR2683525,ERR2683527,ERR2683528,ERR2683529,ERR2683534,ERR2683535,ERR2683116,ERR2683117,ERR2683119,ERR2683120,ERR2683122,ERR2683123,ERR2683125,ERR2683126,ERR2683127,ERR2683130,ERR2683131,ERR2683132,ERR2683134,ERR2683135,ERR2683139,ERR2683142,ERR2683148,ERR2683149,ERR2683150,ERR2683151,ERR2683152,ERR2683153,ERR2683154,ERR2683155,ERR2683156,ERR2683157,ERR2683158,ERR2683159,ERR2683161,ERR2683162,ERR2683163,ERR2683164,ERR2683165,ERR2683166,ERR2683167,ERR2683168,ERR2683169,ERR2683171,ERR2683175,ERR2683176,ERR2683178,ERR2683180,ERR2683181,ERR2683182,ERR2683183,ERR2683184,ERR2683185,ERR2683187,ERR2683190,ERR2683197,ERR2683198,ERR2683201,ERR2683202,ERR2683206,ERR2683207,ERR2683209,ERR2683210,ERR2683212,ERR2683216,ERR2683217,ERR2683224,ERR2683226,ERR2683229,ERR2683230,ERR2683234,ERR2683235,ERR2683236,ERR2683237,ERR2683239,ERR2683240,ERR2683242,ERR2683243,ERR2683247,ERR2683248,ERR2683250,ERR2683253,ERR2683256,ERR2683258,ERR2683260,ERR2683262,ERR2683263,ERR2683266,ERR2683267,ERR2683269,ERR2683270,ERR2683271,ERR2683272,ERR2683274,ERR2683275,ERR2683278,ERR2683279,ERR2683280,ERR2683526,ERR2683530,ERR2683531,ERR2683532,ERR2683533,ERR2683536,ERR2683537,ERR2683538
Eukaryota,Arthropoda,486,3955,5981,28,155,825,19,347,8,76,89,8,25,39,36,94,54,207,864,56,37,298,28,47,27,61,3011,84,37,62,57,30,48,93,7,10,44,6,18,3,34,24,29,25,69,82,59,206,76,18,145,269,139,45,68,7,350,35,228,11,6,21,81,31,216,437,23,36,18,18,90,1940,77,6,123,0,0,0,3,25,9,9,5,18,45,2117,5,437,6,18,565,99,4814,79,73,33,63,67,93,411,105,60,36,35,38,125,17,107,12,16,42,142,5,11,24,99,95,47,408,47,63,30,9,31,165,47,11,487,35,16,85,119,8,19,2,4,132,176,178,76,73,40,454,314,218,39,50,21,211,1028,20,148,22,42,18,10,26,69,10,42,26,56,101,21,18,12,16,74,39,126,50,1,475,16,12,0,1,8,8,1,1
Eukaryota,Ascomycota,66,25,401,22,27,26,21,133,87,1194,49,13,41,155,249,39,26,587,180,107,84,151,371,75,48,183,20,545,69,37,31,23,20,126,13,18,75,11,6,7,10,135,24,3,112,75,249,213,137,116,170,97,145,285,150,196,117,28,93,52,21,240,207,62,474,145,17,112,19,284,16,25,107,6,40,1,0,1,1,4,1,53,394,109,30,6,27,8,14,6,50,103,23,184,313,289,423,15,229,249,182,1139,57,509,262,864,288,122,40,26,235,47,16,10517,730,94,161,30,39,416,172,85,21,253,156,16,75,64,58,78,62,49,85,11,2,6,137,127,23,34,28,156,165,221,266,697,256,20,203,220,15,23,37,361,20,108,22,272,6,35,21,95,115,21,13,17,18,240,215,792,23,3,80,1,4,0,0,4,4,0,0
Eukaryota,Bacillariophyta,2,59,0,1,0,15,0,2,0,1,0,37,0,0,0,0,0,1,0,1,0,9,0,0,0,3,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0,5,0,0,0,0,2,0,0,0,3,3,0,0,1,6,3,0,0,0,10,1009,5,405,1,0,0,0,0,0,1,7,6,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,25,2,0,0,5,11,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,5,0,2,9,0,12,1,0,1,1,0,5,0,0,0,0,0,1,1,0,0,30,1,1,0,1,0,1,0,0,0,0,5,5,1,0
Eukaryota,Basidiomycota,15,7,170,2,2,11,15,31,4,5,7,0,234,24,12,22,11,29,6,1,2,4,12,5,2,50,4,22,63,7,19,4,6,8,2,0,14,1,0,0,4,1,2,1,8,6,9,76,5,4,4,10,2,4,7,4,22,3,4,1,2,4,9,1,30,7,1,7,5,0,5,5,23,6,4,0,0,0,0,2,0,19,32,0,14,0,2,3,1,1,18,70,6,27,22,5,22,1,6,24,3,35,5,8,12,34,8,4,2,1,9,14,1,16,7,3,21,5,13,11,11,4,5,9,66,8,19,23,7,13,5,2,0,0,0,0,9,15,6,1,5,5,3,35,14,5,7,1,18,66,7,4,7,14,5,10,6,25,1,0,3,6,4,2,8,2,10,5,0,33,5,1,201,0,0,0,0,1,0,0,0
Eukaryota,Blastocladiomycota,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,48,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Brachiopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Bryozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chlorophyta,38,539,11,1,1,1,7,12,6,13,1,20,2,9,4,4,6,26,4,6,3,10,10,3,29,26,15,12,11,2,4,2,4,13,6,0,11,1,0,0,0,1,2,5,4,2,12,16,6,13,2,46,1,1,5,1,36,7,7,18,24,4,4,3,17,27,2601,52,8,9,18,320,7,4,11,0,0,0,0,1,9,0,7,9,132,18,34,793,204,5,605,13,68,50,5,8,5,4,9,45,7,6,31,7,15,3,3,9,1,3,3,84,20,13,16,16,31,42,56,10,16,8,8,10,17,24,24,54,10,3,9,31,0,3,0,0,1,12,83,8,6,3,0,12,5,7,3,30,45,26,31,44,16,6,9,2,4,10,48,7,2,6,32,3,8,0,891,15,4,8,6,0,44,0,1,0,5,3,6,1,0
Eukaryota,Chordata,6,1,19,8,0,22,52,12,8,11,570,0,19,4,11,18,7,25,29,3,3,16,19,31,5,64,141,16,30,36,105,411,2,7,5,4,9,0,2,1,4,8,3,4,2,7,15,9,4,3,2,2160,14,4,5,4,17,23,8,27,0,5,5,4,20,66,3,8,4,2,75,81,11,0,16,2,0,0,0,0,0,4,1,6,23,10,23,2,1,3,2,6,25,33,19,15,4,1,5,5,7,40,2,10,6,77,6,5,3,3,2,20,4,5,2,3,18,46,6,501,13,8,3,31,46,27,39,30,12,34,4,2,0,1,1,0,2,12,0,1,0,4,35,21,6,6,16,1,73,55,53,17,104,15,4,4,7,26,0,3,3,10,11,2,3,13,50,6,14,3,0,0,3063,0,1,0,0,0,2,0,0
Eukaryota,Chromerida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chytridiomycota,0,11,1,0,0,6,0,2,0,3,3,5,2,0,1,3,9,7,1,0,0,12,4,0,1,0,1,3,1,4,0,1,1,1,1,1,0,0,0,0,0,2,6,0,1,1,0,0,3,0,2,0,0,1,6,2,0,0,2,12,1,0,0,0,1,0,91,3,0,0,7,1,4,0,0,1,0,0,0,5,3,0,0,0,0,0,1,1,0,3,1372,1,93,3,4,0,0,1,0,2,1,0,0,1,8,0,5,1,0,0,1,3,0,0,1,2,2,26,1,0,0,1,10,0,1,2,9,1,1,2,6,0,0,0,1,0,2,6,3,0,0,1,0,5,0,0,0,1,11,1,11,0,2,2,16,2,3,2,0,0,1,0,1,0,0,0,102,4,0,3,0,1,11,0,0,0,0,3,7,0,0
Eukaryota,Cnidaria,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,3,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Eukaryota,Colponemidia,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Cryptomycota,13,7,7,2,1,3,0,33,21,23,10,7,3,22,7,6,223,8,10,0,2,15,15,2,1,10,22,20,14,9,2,4,20,17,10,1,8,1,2,3,2,4,10,5,15,51,33,10,9,9,203,36,16,7,101,21,10,6,11,57,13,8,9,6,5,12,1,200,7,4,3,2,21,9,7,0,1,1,2,0,4,4,4,10,103,2,8,0,0,5,187,8,13,27,5,6,9,42,57,20,13,11,16,41,74,5,5,7,10,0,3,37,10,4,13,8,12,26,62,6,9,16,32,14,35,607,7,5,7,1,10,18,7,8,1,1,15,3,60,12,12,7,7,9,4,31,91,37,6,48,67,3,3,29,180,2,4,6,2,0,12,5,6,4,4,0,35,17,85,58,15,6,3,0,1,0,0,1,1,0,0
Eukaryota,Echinodermata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Entoprocta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Entorrhizomycota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Euglenida,1,6,0,0,8,3,1,2,1,1,1,1,59,0,2,0,3,10,2,1,2,2,0,4,6,0,3,1,2,26,0,0,1,2,0,1,2,0,0,0,0,0,25,2,1,4,0,3,2,5,2,2,4,0,0,3,1,0,2,0,3,4,1,2,2,11,8,1,0,3,8,0,2,2,2,1,0,0,0,1,1,2,0,2,149,0,3,70,7,2,241,1,25,1,2,3,5,0,4,4,1,2,3,1,2,8,7,1,2,0,0,1,1,0,0,0,2,18,1,5,14,0,4,0,2,1,15,1,0,0,8,1,0,0,0,0,3,2,0,9,4,0,3,4,0,6,7,18,4,7,0,0,0,0,8,0,16,6,0,2,2,0,0,0,1,0,79,0,2,3,0,0,10,0,0,0,0,1,1,0,0
Eukaryota,Eustigmatophyceae,0,34,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,0,1,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,1,37,0,7,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,9,0,1,0,0,0,0,0,2,0,1,0,0,0,47,0,0,0,0,0,4,0,0,0,1,0,0,0,0
Eukaryota,Gastrotricha,0,31,0,0,0,1,0,0,0,2,2,0,2,0,0,0,9,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,11,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,219,4,447,0,0,0,3,1,0,2,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,23,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,42,0,0,0,0,3,2,0,0
Eukaryota,Gnathostomulida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Haplosporidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Hemichordata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Microsporidia,0,7,2,0,0,13,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Mollusca,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,9,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,10,3,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,1,0,0,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,3,1,3,0,0,1,0,1,9,0,0,0,1,0,0,0,0,1,3,0,0,2,0,0,138,0,0,0,0,1,0,0,0
Eukaryota,Mucoromycota,1,2,4,0,2,4,0,3,0,0,8,0,1,1,0,3,1,2,0,2,0,2,2,1,0,3,1,2,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,1,0,2,5,0,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,10,3,6,0,2,0,3,1,1,5,1,3,0,0,2,3,2,0,0,0,2,1,2,2,5,0,5,0,2,0,3,0,1,0,4,1,0,0,2,4,1,2,0,0,0,0,3,0,12,0,0,0,0,2,0,1,0,0,3,0,2,0,0,1,1,1,1,1,0,0,2,0,0,0,0,1,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Nematoda,182,170,494,37,52,81,66,1006,137,1958,1371,41,156,385,977,117,1066,732,298,15,115,3291,274,676,33,211,214,365,86,115,151,82,113,203,87,19,803,26,17,35,39,183,85,34,914,971,1178,1238,559,198,1135,574,494,185,516,123,633,325,418,348,52,313,588,620,909,1364,46,141,103,251,211,53,330,18,943,3,6,7,3,28,27,41,146,110,1392,74,43,33,13,27,76,548,512,536,147,402,726,182,957,1365,582,846,815,1662,542,673,708,318,136,7,257,427,84,145,53,27160,445,40,110,477,1293,88,152,317,357,63,77,75,460,234,762,453,96,34,32,22,308,490,50,734,524,431,375,640,296,440,912,503,864,1260,107,1327,99,432,88,117,452,1623,28,89,209,394,168,45,66,85,3,188,600,1205,44,36,41,2,5,1,6,26,25,0,3
Eukaryota,Phaeophyceae,0,1,0,0,0,1,0,0,0,1,0,0,3,0,3,0,1,4,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,1,0,0,1,0,2,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,8,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,3,0,0,1,3,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Picozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Pinguiophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Placozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Platyhelminthes,2,2,31,0,1,29,7,1,2,1,0,1,0,3,0,0,0,2,10,1,0,2,0,0,0,8,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,3,1,0,2,19,0,0,1,0,73,2,1,5,0,0,0,1,0,1,6,1,0,0,7,0,0,1,2,0,0,0,0,0,2,1,23,0,0,0,1,0,1,1,111,2,98,1,9,0,0,3,3,5,2,6,0,1,0,0,0,1,0,0,4,25,70,0,0,7,1,14,6,0,0,3,5,2,19,2,3,76,0,0,0,0,0,0,0,0,0,1,47,2,0,0,0,2,0,0,0,1,238,5,0,5,4,4,1,0,5,0,1,3,0,0,0,1,0,2,2,20,0,1,1,0,0,0,0,1,0,0,0,0,0
Eukaryota,Porifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
