OTU,phylum,kingdom
OTU1,Crenarchaeota,Archaea
OTU2,Euryarchaeota,Archaea
OTU3,Parvarchaeota,Archaea
OTU4,Acidobacteria,Bacteria
OTU5,Actinobacteria,Bacteria
OTU6,Armatimonadetes,Bacteria
OTU7,Bacteroidetes,Bacteria
OTU8,Caldiserica,Bacteria
OTU9,Caldithrix,Bacteria
OTU10,Chlamydiae,Bacteria
OTU11,Chlorobi,Bacteria
OTU12,Chloroflexi,Bacteria
OTU13,Cyanobacteria,Bacteria
OTU14,Deferribacteres,Bacteria
OTU15,Dictyoglomi,Bacteria
OTU16,Elusimicrobia,Bacteria
OTU17,Fibrobacteres,Bacteria
OTU18,Firmicutes,Bacteria
OTU19,Fusobacteria,Bacteria
OTU20,Gemmatimonadetes,Bacteria
OTU21,Lentisphaerae,Bacteria
OTU22,Nitrospirae,Bacteria
OTU23,Planctomycetes,Bacteria
OTU24,Proteobacteria,Bacteria
OTU25,Spirochaetes,Bacteria
OTU26,Synergistetes,Bacteria
OTU27,Tenericutes,Bacteria
OTU28,Thermi,Bacteria
OTU29,Thermotogae,Bacteria
OTU30,Verrucomicrobia,Bacteria
OTU31,Poribacteria,Bacteria
OTU32,Thaumarchaeota,Archaea
OTU33,Calditrichaeota,Bacteria
OTU34,Ignavibacteriae,Bacteria
OTU35,Kiritimatiellaeota,Bacteria
OTU36,Nitrospinae,Bacteria
OTU37,Annelida,Eukaryota
OTU38,Apicomplexa,Eukaryota
OTU39,Arthropoda,Eukaryota
OTU40,Ascomycota,Eukaryota
OTU41,Bacillariophyta,Eukaryota
OTU42,Basidiomycota,Eukaryota
OTU43,Blastocladiomycota,Eukaryota
OTU44,Chlorophyta,Eukaryota
OTU45,Chordata,Eukaryota
OTU46,Chytridiomycota,Eukaryota
OTU47,Cnidaria,Eukaryota
OTU48,Colponemidia,Eukaryota
OTU49,Cryptomycota,Eukaryota
OTU50,Euglenida,Eukaryota
OTU51,Mollusca,Eukaryota
OTU52,Mucoromycota,Eukaryota
OTU53,Nematoda,Eukaryota
OTU54,Phaeophyceae,Eukaryota
OTU55,Platyhelminthes,Eukaryota
OTU56,Porifera,Eukaryota
OTU57,Rotifera,Eukaryota
OTU58,Streptophyta,Eukaryota
OTU59,Tardigrada,Eukaryota
OTU60,Xenacoelomorpha,Eukaryota
