kingdom,phylum,ERR2814645,ERR2814646,ERR2814647,ERR2814648,ERR2814649,ERR2814650,ERR2814651,ERR2814652,ERR2814653,ERR2814654,ERR2814655,ERR2814656,ERR2814657,ERR2814658,ERR2814659,ERR2814660,ERR2814661,ERR2814662,ERR2814663,ERR2814664,ERR2814665,ERR2814666,ERR2814667,ERR2814668
Archaea,Crenarchaeota,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Archaea,Euryarchaeota,12,18,25,22,17,21,81,75,15,18,22,16,62,75,80,20,21,22,10,28,14,14,62,23
Archaea,Nanoarchaeota,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thaumarchaeota,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,2,2,0,0
Bacteria,Acidobacteria,9,14,15,26,29,34,18,14,37,45,21,30,7,14,15,24,27,30,18,13,15,17,6,26
Bacteria,Actinobacteria,764,685,738,787,550,591,363,877,1378,1521,1140,573,700,844,342,811,639,824,723,667,322,371,772,1283
Bacteria,Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
Bacteria,Armatimonadetes,0,0,0,0,1,1,5,0,7,5,2,1,1,1,1,1,0,0,0,0,1,1,0,1
Bacteria,Bacteroidetes,6977,4807,6106,5900,4593,4950,3543,6141,7312,7862,5211,5291,5696,5948,3277,5183,5725,6179,6605,5674,3309,3615,6152,5738
Bacteria,Caldiserica,0,0,0,1,0,0,3,3,0,1,1,0,0,3,5,0,0,0,0,0,1,0,0,2
Bacteria,Calditrichaeota,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Bacteria,Chlamydiae,4,7,11,10,6,7,18,5,9,7,18,9,8,8,17,7,10,8,3,9,2,1,12,17
Bacteria,Chlorobi,3,0,0,0,3,0,1,1,0,0,1,2,5,0,0,1,3,0,3,0,0,0,4,0
Bacteria,Chloroflexi,12,40,19,56,28,34,98,179,21,37,20,117,22,167,71,36,110,60,10,22,13,18,13,36
Bacteria,Cyanobacteria,28,68,24,43,30,34,22,27,49,50,59,26,34,31,17,66,24,42,18,26,29,29,38,64
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
Bacteria,Elusimicrobia,2,3,14,32,7,7,4,1,11,11,2,4,9,0,4,4,3,36,3,12,3,3,10,3
Bacteria,Fibrobacteres,20,19,10,12,18,29,23,20,38,33,29,14,48,16,15,32,12,13,24,12,6,10,55,34
Bacteria,Firmicutes,9364,6284,5841,7776,5259,5586,4106,7977,11831,12828,6233,6668,11458,7588,3864,6757,7120,8296,8715,5369,4358,4747,12338,6904
Bacteria,Fusobacteria,683,1029,1274,529,920,988,1525,971,571,611,1197,410,993,935,1366,1134,433,536,664,1174,426,462,1059,1317
Bacteria,Gemmatimonadetes,4,3,2,2,2,3,4,1,10,11,8,12,0,1,3,3,10,2,0,3,2,2,2,6
Bacteria,Ignavibacteriae,14,9,22,12,7,9,11,10,10,10,20,23,23,9,8,8,26,13,13,12,6,4,30,22
Bacteria,Kiritimatiellaeota,2,4,11,10,10,9,12,11,4,6,14,7,21,10,8,8,6,8,3,9,2,1,25,14
Bacteria,Lentisphaerae,7,24,13,16,10,15,20,19,26,28,14,9,11,23,20,28,10,16,6,13,10,10,11,16
Bacteria,Nitrospirae,3,2,6,10,2,2,15,3,123,133,7,2,0,2,8,2,2,12,1,5,4,4,1,5
Bacteria,Planctomycetes,11,20,10,17,8,10,19,14,45,48,9,17,7,14,15,20,20,16,7,9,6,9,8,16
Bacteria,Proteobacteria,15138,9749,16395,10119,9861,10656,18355,11242,14588,15677,12242,9830,11446,10751,17141,10513,10640,10709,14299,15406,12082,13036,12250,13566
Bacteria,Spirochaetes,14,332,105,129,70,70,203,61,49,58,171,56,78,60,177,382,76,137,11,111,20,26,89,195
Bacteria,Synergistetes,15,11,20,25,18,21,55,33,8,10,31,14,26,33,59,11,24,25,8,25,15,16,23,33
Bacteria,Tenericutes,98,90,48,77,111,116,42,61,113,121,112,60,107,51,43,92,61,79,88,38,32,40,106,134
Bacteria,Thermotogae,0,1,1,0,1,3,17,1,3,3,5,2,0,2,16,0,2,0,0,0,1,1,0,4
Bacteria,Verrucomicrobia,78,147,96,101,65,73,111,118,184,197,180,83,66,108,97,156,83,119,80,98,71,68,64,196
Eukaryota,Annelida,0,2,0,0,0,0,2,0,9,17,0,1,0,0,3,0,1,0,1,0,0,0,2,0
Eukaryota,Apicomplexa,0,3,3,0,0,1,0,0,1,1,0,0,0,1,1,5,0,0,0,0,0,1,0,1
Eukaryota,Arthropoda,0,1,0,2,1,0,1,1,3,1,0,0,4,3,2,0,0,0,0,1,0,1,2,2
Eukaryota,Ascomycota,4,5,34,3,6,7,5,14,18,26,23,4,52,12,3,12,4,4,2,32,7,14,60,24
Eukaryota,Bacillariophyta,0,0,2,0,0,1,0,0,0,1,1,1,2,0,0,0,2,1,0,0,0,0,1,0
Eukaryota,Basidiomycota,4,0,2,0,0,2,0,5,1,2,1,2,6,4,0,2,2,1,6,3,0,2,6,0
Eukaryota,Bryozoa,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Chlorophyta,0,28,2,19,1,1,0,2,2,2,0,0,2,5,0,29,0,21,0,1,0,0,2,1
Eukaryota,Chordata,1,3,10,1,3,5,4,1,1,3,1,3,4,4,4,1,5,0,0,12,1,3,4,5
Eukaryota,Chytridiomycota,0,0,0,6,0,0,0,0,0,1,0,1,0,0,1,0,2,3,0,0,0,0,0,0
Eukaryota,Cryptomycota,1,1,1,2,0,0,2,0,11,5,2,3,1,1,3,2,4,1,0,2,0,0,1,2
Eukaryota,Euglenida,0,0,0,2,0,0,0,3,3,0,1,0,1,1,0,0,0,2,0,0,4,1,2,0
Eukaryota,Gastrotricha,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Microsporidia,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Mollusca,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Mucoromycota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eukaryota,Nematoda,12,2,3,18,11,4,5,18,14,7,3,4,8,19,6,5,8,16,16,4,11,12,12,5
Eukaryota,Phaeophyceae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
Eukaryota,Picozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eukaryota,Platyhelminthes,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Eukaryota,Rotifera,2,0,0,13,1,1,0,0,3,2,0,0,2,0,0,1,0,11,3,0,0,1,3,0
Eukaryota,Streptophyta,7,329,3,9,1,1,1,104,3,7,2,2,4,96,1,337,3,8,1,4,1,0,3,2
Eukaryota,Tardigrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0
Eukaryota,Xanthophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Eukaryota,Zoopagomycota,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
